Replicate	# OCR
Gar_ATAC_whole_embryo_32-33_rep3	40810
Gar_ATAC_whole_embryo_24-25_rep1	45799
Gar_ATAC_whole_embryo_21-22_rep1	87172
Gar_ATAC_whole_embryo_22-23	91718
Gar_ATAC_whole_embryo_31-32	132651
Gar_ATAC_whole_embryo_33-34	72456
Gar_ATAC_whole_embryo_27-28_rep2	73414
Gar_ATAC_whole_embryo_24-25_rep2	84247
Gar_ATAC_whole_embryo_32-33_rep1	58437
Gar_ATAC_whole_embryo_30-31_rep1	213930
Gar_ATAC_whole_embryo_27-28_rep1	67965
Gar_ATAC_whole_embryo_25-26_rep3	58968
Gar_ATAC_whole_embryo_21-22_rep2	69717
Gar_ATAC_whole_embryo_28-29	112612
Gar_ATAC_whole_embryo_30-31_rep2	149685
Gar_ATAC_head_heart_30-31	113039
Gar_ATAC_whole_embryo_27-28_rep3	76780
Gar_ATAC_whole_embryo_30-31_rep3	181866
Gar_ATAC_whole_embryo_32-33_rep2	46708
Gar_ATAC_whole_embryo_25-26_rep2	65085
Gar_ATAC_whole_embryo_25-26_rep1	62862
Gar_ATAC_whole_embryo_24-25_rep3	80883
